Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
1-Mar,"9,878.78","10,493.25","10,859.50","9,106.54",6.04B,-5.87%,-0.0587,,-5.87
1-Feb,"10,495.28","10,884.82","11,035.14","10,294.01",4.16B,-3.60%,-0.036,,-3.6
1-Jan,"10,887.36","10,790.92","11,028.00","10,468.04",290.79M,0.00%,0,,0
1-Jan,"10,887.36","10,790.92","11,028.00","10,468.04",5.83B,0.93%,0.0093,,0.93
Dec-00,"10,786.85","10,416.76","10,917.68","10,299.21",5.21B,3.58%,0.0358,,3.58
Nov-00,"10,414.49","10,966.21","11,006.50","10,292.39",4.68B,-5.07%,-0.0507,,-5.07
Oct-00,"10,971.14","10,659.06","10,995.41","9,654.64",297.12M,0.00%,0,,0
Oct-00,"10,971.14","10,659.06","10,995.41","9,654.64",6.26B,3.01%,0.0301,,3.01
Sep-00,"10,650.92","11,219.54","11,401.19","10,567.32",4.64B,-5.03%,-0.0503,,-5.03
Aug-00,"11,215.10","10,523.81","11,319.06","10,516.76",3.62B,6.59%,0.0659,,6.59
Jul-00,"10,521.98","10,450.36","10,874.63","10,393.09",171.24M,0.00%,0,,0
Jul-00,"10,521.98","10,450.36","10,874.63","10,393.09",3.25B,0.71%,0.0071,,0.71
Jun-00,"10,447.90","10,532.27","10,863.00","10,335.46",3.79B,-0.71%,-0.0071,,-0.71
May-00,"10,522.34","10,749.42","10,971.24","10,258.81",3.82B,-1.97%,-0.0197,,-1.97
Apr-00,"10,733.91","10,863.28","11,425.45","10,201.53",222.28M,0.00%,0,,0
Apr-00,"10,733.92","10,863.28","11,425.45","10,201.53",4.05B,-1.72%,-0.0172,,-1.72
Mar-00,"10,921.93","10,128.11","11,234.65","9,731.81",4.75B,7.84%,0.0784,,7.84
Feb-00,"10,128.31","10,937.74","11,118.93","9,836.06",3.66B,-7.42%,-0.0742,,-7.42
Jan-00,"10,940.53","11,501.85","11,750.28","10,701.64",202.32M,0.00%,0,,0
Jan-00,"10,940.54","11,501.85","11,750.28","10,701.64",3.83B,-4.84%,-0.0484,,-4.84
Dec-99,"11,497.12","10,876.47","11,568.77","10,859.65",3.17B,5.69%,0.0569,,5.69
Nov-99,"10,877.81","10,730.79","11,112.77","10,536.27",3.25B,1.38%,0.0138,,1.38
Oct-99,"10,729.87","10,335.69","10,790.02","9,976.02",2.29B,3.80%,0.038,,3.8
Sep-99,"10,336.96","10,828.44","11,142.41","10,081.13",1.75B,-4.55%,-0.0455,,-4.55
Aug-99,"10,829.28","10,654.83","11,365.93","10,549.08",89.01M,0.00%,0,,0
Aug-99,"10,829.28","10,654.83","11,365.93","10,549.08",1.82B,1.63%,0.0163,,1.63
Jul-99,"10,655.15","10,966.05","11,252.27","10,647.86",1.67B,-2.88%,-0.0288,,-2.88
Jun-99,"10,970.81","10,561.01","11,003.41","10,409.14",1.77B,3.89%,0.0389,,3.89
May-99,"10,559.74","10,789.04","11,130.67","10,434.26",95.77M,0.00%,0,,0
May-99,"10,559.75","10,789.04","11,130.67","10,434.26",1.84B,-2.13%,-0.0213,,-2.13
Apr-99,"10,789.04","9,786.44","10,961.71","9,765.63",2.10B,10.25%,0.1025,,10.25
Mar-99,"9,786.16","9,307.39","10,085.31","9,211.23",1.95B,5.15%,0.0515,,5.15
Feb-99,"9,306.57","9,359.60","9,611.33","9,099.04",1.55B,-0.56%,-0.0056,,-0.56
Jan-99,"9,358.83","9,184.01","9,647.96","9,063.26",96.45M,0.00%,0,,0
Jan-99,"9,358.82","9,184.01","9,647.96","9,063.26",1.75B,1.93%,0.0193,,1.93
Dec-98,"9,181.43","9,116.55","9,334.88","8,676.03",1.49B,0.71%,0.0071,,0.71
Nov-98,"9,116.55","8,595.70","9,380.20","8,595.70",73.06M,0.00%,0,,0
Nov-98,"9,116.55","8,595.70","9,380.20","8,595.70",1.39B,6.10%,0.061,,6.1
Oct-98,"8,592.11","7,841.33","8,659.81","7,467.49",1.92B,9.56%,0.0956,,9.56
Sep-98,"7,842.62","7,545.76","8,182.47","7,400.30",1.90B,4.03%,0.0403,,4.03
Aug-98,"7,539.07","8,883.29","8,886.12","7,539.07",83.79M,0.00%,0,,0
Aug-98,"7,539.06","8,883.29","8,886.12","7,539.07",1.64B,-15.13%,-0.1513,,-15.13
Jul-98,"8,883.29","8,958.99","9,367.84","8,816.09",1.50B,-0.77%,-0.0077,,-0.77
Jun-98,"8,952.01","8,900.95","9,104.72","8,569.88",1.29B,0.58%,0.0058,,0.58
May-98,"8,899.95","9,066.61","9,261.91","8,788.10",1.07B,-1.80%,-0.018,,-1.8
Apr-98,"9,063.36","8,801.56","9,213.33","8,748.74",1.39B,2.99%,0.0299,,2.99
Mar-98,"8,799.81","8,544.47","8,959.24","8,405.72",56.98M,0.00%,0,,0
Mar-98,"8,799.80","8,544.47","8,959.24","8,405.72",1.19B,2.97%,0.0297,,2.97
Feb-98,"8,545.72","7,909.99","8,566.89","7,909.99",774.50K,0.00%,0,,0
Feb-98,"8,545.71","7,909.99","8,566.89","7,909.99",1.03B,8.08%,0.0808,,8.08
Jan-98,"7,906.50","7,910.20","8,035.54","7,443.41",68.90M,0.00%,0,,0
Jan-98,"7,906.50","7,910.49","8,035.54","7,443.41",1.32B,-0.02%,-0.0002,,-0.02
Dec-97,"7,908.24","7,825.12","8,166.29","7,576.93",1.16B,1.09%,0.0109,,1.09
Nov-97,"7,823.10","7,445.80","7,881.07","7,349.99",57.28M,0.00%,0,,0
Nov-97,"7,823.12","7,443.07","7,881.07","7,349.99",1.07B,5.12%,0.0512,,5.12
Oct-97,"7,442.08","7,992.17","8,184.70","6,971.32",1.61B,-6.33%,-0.0633,,-6.33
Sep-97,"7,945.30","7,631.70","8,035.63","7,580.85",60.11M,0.00%,0,,0
Sep-97,"7,945.25","7,667.25","8,035.63","7,580.85",1.22B,4.24%,0.0424,,4.24
Aug-97,"7,622.42","8,213.78","8,299.49","7,606.86",1.12B,-7.30%,-0.073,,-7.3
Jul-97,"8,222.61","7,692.47","8,282.77","7,667.36",1.27B,7.17%,0.0717,,7.17
Jun-97,"7,672.80","7,331.00","7,834.06","7,253.78",54.08M,0.00%,0,,0
Jun-97,"7,672.79","7,351.65","7,834.06","7,253.78",1.09B,4.66%,0.0466,,4.66
May-97,"7,331.04","6,980.09","7,394.95","6,913.06",1.05B,4.59%,0.0459,,4.59
Apr-97,"7,008.99","6,562.33","7,057.55","6,356.37",1.10B,6.46%,0.0646,,6.46
Mar-97,"6,583.48","6,874.30","7,112.10","6,561.20",51.28M,0.00%,0,,0
Mar-97,"6,583.47","6,836.56","7,112.10","6,561.20",949.17M,-4.28%,-0.0428,,-4.28
Feb-97,"6,877.74","6,810.80","7,073.62","6,710.72",42.50M,0.00%,0,,0
Feb-97,"6,877.73","6,813.86","7,073.62","6,710.72",766.00M,0.95%,0.0095,,0.95
Jan-97,"6,813.09","6,447.50","6,906.60","6,352.83",47.52M,0.00%,0,,0
Jan-97,"6,813.08","6,461.73","6,906.22","6,352.82",1.00B,5.66%,0.0566,,5.66
Dec-96,"6,448.27","6,520.60","6,587.05","6,236.05",38.72M,0.00%,0,,0
Dec-96,"6,448.26","6,501.58","6,587.05","6,236.05",781.18M,-1.13%,-0.0113,,-1.13
Nov-96,"6,521.70","6,036.46","6,589.53","5,998.82",741.54M,8.17%,0.0817,,8.17
Oct-96,"6,029.38","5,878.81","6,134.11","5,861.67",761.29M,2.50%,0.025,,2.5
Sep-96,"5,882.17","5,611.80","5,929.89","5,561.46",33.86M,0.00%,0,,0
Sep-96,"5,882.16","5,581.07","5,929.88","5,561.46",649.32M,4.74%,0.0474,,4.74
Aug-96,"5,616.20","5,534.09","5,739.02","5,524.10",615.81M,1.58%,0.0158,,1.58
Jul-96,"5,528.91","5,670.14","5,733.31","5,182.32",779.87M,-2.22%,-0.0222,,-2.22
Jun-96,"5,654.63","5,643.90","5,742.54","5,580.38",33.98M,0.00%,0,,0
Jun-96,"5,654.62","5,627.29","5,742.54","5,580.38",647.78M,0.20%,0.002,,0.2
May-96,"5,643.17","5,554.26","5,796.10","5,342.19",801.91M,1.33%,0.0133,,1.33
Apr-96,"5,569.07","5,609.90","5,697.69","5,415.53",756.53M,-0.32%,-0.0032,,-0.32
Mar-96,"5,587.14","5,524.64","5,709.97","5,424.20",831.13M,1.85%,0.0185,,1.85
Feb-96,"5,485.62","5,387.35","5,659.40","5,348.34",775.58M,1.67%,0.0167,,1.67
Jan-96,"5,395.30","5,115.70","5,408.67","5,014.52",40.72M,0.00%,0,,0
Jan-96,"5,395.30","5,107.00","5,408.67","5,000.79",851.55M,5.44%,0.0544,,5.44
Dec-95,"5,117.12","5,074.13","5,235.62","5,031.50",602.28M,0.84%,0.0084,,0.84
Nov-95,"5,074.49","4,749.34","5,118.93","4,744.64",598.97M,6.71%,0.0671,,6.71
Oct-95,"4,755.48","4,789.80","4,816.90","4,659.74",32.48M,0.00%,0,,0
Oct-95,"4,755.48","4,786.55","4,816.90","4,659.74",685.56M,-0.70%,-0.007,,-0.7
Sep-95,"4,789.08","4,610.20","4,816.54","4,607.03",702.70M,3.87%,0.0387,,3.87
Aug-95,"4,610.56","4,711.28","4,754.96","4,570.85",623.01M,-2.08%,-0.0208,,-2.08
Jul-95,"4,708.47","4,556.10","4,747.21","4,551.25",34.74M,0.00%,0,,0
Jul-95,"4,708.47","4,552.98","4,747.21","4,551.25",665.57M,3.34%,0.0334,,3.34
Jun-95,"4,556.09","4,457.19","4,593.10","4,406.69",632.14M,2.04%,0.0204,,2.04
May-95,"4,465.14","4,316.43","4,465.14","4,301.56",689.94M,3.33%,0.0333,,3.33
Apr-95,"4,321.27","4,157.70","4,328.53","4,155.96",30.38M,0.00%,0,,0
Apr-95,"4,321.27","4,159.42","4,328.53","4,155.96",547.54M,3.93%,0.0393,,3.93
Mar-95,"4,157.69","3,992.03","4,198.84","3,945.69",702.57M,3.66%,0.0366,,3.66
Feb-95,"4,011.05","3,850.25","4,021.23","3,831.41",539.85M,4.35%,0.0435,,4.35
Jan-95,"3,843.86","3,834.40","3,936.72","3,817.26",31.18M,0.00%,0,,0
Jan-95,"3,843.86","3,831.41","3,936.72","3,817.26",615.77M,0.25%,0.0025,,0.25
Dec-94,"3,834.44","3,733.51","3,866.40","3,655.11",533.41M,2.55%,0.0255,,2.55
Nov-94,"3,739.22","3,892.98","3,907.78","3,638.83",613.28M,-4.32%,-0.0432,,-4.32
Oct-94,"3,908.12","3,843.20","3,949.84","3,747.97",31.82M,0.00%,0,,0
Oct-94,"3,908.12","3,850.59","3,949.84","3,747.97",636.27M,1.69%,0.0169,,1.69
Sep-94,"3,843.18","3,899.50","3,953.88","3,820.21",591.49M,-1.79%,-0.0179,,-1.79
Aug-94,"3,913.42","3,767.09","3,939.32","3,736.33",625.18M,3.96%,0.0396,,3.96
Jul-94,"3,764.50","3,654.42","3,770.00","3,623.02",450.82M,3.85%,0.0385,,3.85
Jun-94,"3,624.96","3,753.14","3,823.39","3,610.40",537.00M,-3.55%,-0.0355,,-3.55
May-94,"3,758.37","3,681.70","3,772.79","3,623.10",26.34M,0.00%,0,,0
May-94,"3,758.37","3,683.77","3,772.79","3,623.10",505.57M,2.08%,0.0208,,2.08
Apr-94,"3,681.69","3,634.50","3,710.84","3,552.47",30.98M,0.00%,0,,0
Apr-94,"3,681.69","3,552.18","3,710.84","3,552.18",566.70M,1.26%,0.0126,,1.26
Mar-94,"3,635.96","3,828.93","3,895.94","3,559.09",667.47M,-5.12%,-0.0512,,-5.12
Feb-94,"3,832.02","3,976.67","3,982.02","3,826.39",508.57M,-3.68%,-0.0368,,-3.68
Jan-94,"3,978.36","3,754.10","3,985.96","3,742.81",30.76M,0.00%,0,,0
Jan-94,"3,978.36","3,751.57","3,985.96","3,742.81",619.54M,5.97%,0.0597,,5.97
Dec-93,"3,754.09","3,707.70","3,799.92","3,685.06",501.36M,1.90%,0.019,,1.9
Nov-93,"3,683.95","3,673.33","3,717.76","3,600.67",566.68M,0.09%,0.0009,,0.09
Oct-93,"3,680.59","3,557.36","3,708.82","3,553.72",529.13M,3.53%,0.0353,,3.53
Sep-93,"3,555.12","3,642.31","3,655.72","3,507.06",487.80M,-2.63%,-0.0263,,-2.63
Aug-93,"3,651.25","3,539.50","3,663.83","3,536.96",24.83M,0.00%,0,,0
Aug-93,"3,651.25","3,542.55","3,663.83","3,536.96",526.61M,3.16%,0.0316,,3.16
Jul-93,"3,539.47","3,520.51","3,583.90","3,449.93",500.96M,0.67%,0.0067,,0.67
Jun-93,"3,516.08","3,534.07","3,569.78","3,462.66",461.15M,-0.32%,-0.0032,,-0.32
May-93,"3,527.43","3,439.44","3,565.07","3,415.33",24.52M,0.00%,0,,0
May-93,"3,527.43","3,435.65","3,565.07","3,415.33",472.65M,2.91%,0.0291,,2.91
Apr-93,"3,427.55","3,444.57","3,481.58","3,363.79",645.98M,-0.22%,-0.0022,,-0.22
Mar-93,"3,435.11","3,380.81","3,482.12","3,343.26",586.10M,1.91%,0.0191,,1.91
Feb-93,"3,370.81","3,315.16","3,456.73","3,266.80",577.51M,1.84%,0.0184,,1.84
Jan-93,"3,310.00","3,301.10","3,320.83","3,231.95",32.10M,0.00%,0,,0
Jan-93,"3,310.03","3,312.46","3,320.83","3,231.95",620.03M,0.27%,0.0027,,0.27
Dec-92,"3,301.11","3,299.22","3,352.71","3,248.16",510.28M,-0.12%,-0.0012,,-0.12
Nov-92,"3,305.20","3,226.30","3,308.41","3,184.67",23.77M,0.00%,0,,0
Nov-92,"3,305.16","3,224.12","3,308.41","3,184.67",452.35M,2.44%,0.0244,,2.44
Oct-92,"3,226.28","3,279.23","3,280.85","3,095.79",523.78M,-1.39%,-0.0139,,-1.39
Sep-92,"3,271.66","3,254.64","3,376.49","3,233.84",436.55M,0.44%,0.0044,,0.44
Aug-92,"3,257.40","3,393.80","3,399.99","3,207.10",134.60K,0.00%,0,,0
Aug-92,"3,257.35","3,385.40","3,399.99","3,207.10",363.36M,-4.02%,-0.0402,,-4.02
Jul-92,"3,393.78","3,323.87","3,402.96","3,266.53",442.09M,2.27%,0.0227,,2.27
Jun-92,"3,318.52","3,388.58","3,422.28","3,254.05",475.50M,-2.31%,-0.0231,,-2.31
May-92,"3,396.88","3,355.99","3,420.21","3,324.02",373.46M,1.12%,0.0112,,1.12
Apr-92,"3,359.12","3,220.04","3,366.50","3,161.23",441.52M,3.82%,0.0382,,3.82
Mar-92,"3,235.50","3,267.70","3,299.64","3,188.28",18.98M,0.00%,0,,0
Mar-92,"3,235.47","3,270.80","3,299.64","3,188.28",402.15M,-0.99%,-0.0099,,-0.99
Feb-92,"3,267.70","3,223.40","3,293.38","3,207.96",22.58M,0.00%,0,,0
Feb-92,"3,267.67","3,219.81","3,293.38","3,207.96",411.16M,1.37%,0.0137,,1.37
Jan-92,"3,223.40","3,152.10","3,299.19","3,139.31",26.44M,0.00%,0,,0
Jan-92,"3,223.39","3,152.06","3,299.19","3,139.31",556.36M,1.72%,0.0172,,1.72
Dec-91,"3,168.83","2,866.28","3,204.61","2,832.29",22.95M,0.00%,0,,0
Dec-91,"3,168.83","2,893.11","3,188.05","2,839.44",455.16M,9.47%,0.0947,,9.47
Nov-91,"2,894.68","3,068.64","3,082.06","2,868.96",386.03M,-5.68%,-0.0568,,-5.68
Oct-91,"3,069.10","3,017.66","3,077.37","2,938.28",452.96M,1.73%,0.0173,,1.73
Sep-91,"3,016.77","3,042.04","3,066.64","2,963.10",19.42M,0.00%,0,,0
Sep-91,"3,016.77","3,043.82","3,060.82","2,972.71",372.74M,-0.88%,-0.0088,,-0.88
Aug-91,"3,043.60","3,024.37","3,057.91","2,859.57",424.05M,0.62%,0.0062,,0.62
Jul-91,"3,024.82","2,906.75","3,029.96","2,906.75",368.38M,4.06%,0.0406,,4.06
Jun-91,"2,906.75","3,023.03","3,057.47","2,879.25",20.16M,0.00%,0,,0
Jun-91,"2,906.75","3,027.50","3,036.00","2,883.72",384.15M,-3.99%,-0.0399,,-3.99
May-91,"3,027.50","2,887.87","3,027.50","2,840.34",426.85M,4.84%,0.0484,,4.84
Apr-91,"2,887.87","2,913.86","3,017.57","2,854.95",462.65M,-0.89%,-0.0089,,-0.89
Mar-91,"2,913.86","2,882.18","3,002.72","2,843.56",466.00M,1.10%,0.011,,1.1
Feb-91,"2,882.18","2,737.38","2,939.85","2,706.44",538.65M,5.33%,0.0533,,5.33
Jan-91,"2,736.39","2,627.23","2,747.28","2,447.03",22.23M,0.00%,0,,0
Jan-91,"2,736.39","2,633.66","2,736.38","2,457.67",475.02M,3.90%,0.039,,3.9
Dec-90,"2,633.66","2,572.27","2,662.62","2,534.65",18.38M,0.00%,0,,0
Dec-90,"2,633.66","2,559.65","2,648.51","2,539.11",354.89M,2.89%,0.0289,,2.89
Nov-90,"2,559.65","2,442.08","2,572.77","2,421.29",383.25M,4.80%,0.048,,4.8
Oct-90,"2,442.33","2,452.23","2,550.25","2,354.21",483.00M,-0.41%,-0.0041,,-0.41
Sep-90,"2,452.48","2,590.84","2,665.35","2,367.82",20.45M,0.00%,0,,0
Sep-90,"2,452.48","2,614.36","2,653.96","2,379.70",363.30M,-6.19%,-0.0619,,-6.19
Aug-90,"2,614.36","2,905.45","2,920.54","2,478.71",591.41M,-10.01%,-0.1001,,-10.01
Jul-90,"2,905.20","2,883.17","3,024.26","2,833.17",21.17M,0.00%,0,,0
Jul-90,"2,905.20","2,880.69","3,010.64","2,852.72",422.42M,0.85%,0.0085,,0.85
Jun-90,"2,880.69","2,878.40","2,948.54","2,832.18",431.04M,0.14%,0.0014,,0.14
May-90,"2,876.66","2,656.76","2,894.92","2,656.76",438.96M,8.28%,0.0828,,8.28
Apr-90,"2,656.76","2,684.01","2,793.47","2,627.70",16.82M,0.00%,0,,0
Apr-90,"2,656.76","2,706.76","2,782.88","2,634.01",422.22M,-1.86%,-0.0186,,-1.86
Mar-90,"2,707.21","2,627.70","2,768.24","2,618.47",428.16M,3.04%,0.0304,,3.04
Feb-90,"2,627.25","2,590.32","2,664.86","2,548.42",354.11M,1.42%,0.0142,,1.42
Jan-90,"2,590.54","2,748.72","2,834.04","2,513.06",22.61M,0.00%,0,,0
Jan-90,"2,590.54","2,753.41","2,822.95","2,519.14",474.84M,-5.91%,-0.0591,,-5.91
Dec-89,"2,753.20","2,706.27","2,772.40","2,666.38",371.31M,1.73%,0.0173,,1.73
Nov-89,"2,706.27","2,645.08","2,711.18","2,569.67",360.16M,2.31%,0.0231,,2.31
Oct-89,"2,645.08","2,692.82","2,809.08","2,496.93",25.86M,0.00%,0,,0
Oct-89,"2,645.08","2,692.63","2,795.97","2,504.92",546.49M,-1.77%,-0.0177,,-1.77
Sep-89,"2,692.82","2,737.27","2,760.26","2,651.22",365.59M,-1.62%,-0.0162,,-1.62
Aug-89,"2,737.27","2,660.66","2,748.10","2,626.52",478.21M,2.88%,0.0288,,2.88
Jul-89,"2,660.66","2,448.79","2,668.25","2,431.53",19.14M,0.00%,0,,0
Jul-89,"2,660.66","2,440.06","2,660.66","2,436.84",363.47M,9.04%,0.0904,,9.04
Jun-89,"2,440.06","2,479.78","2,535.28","2,418.82",517.36M,-1.62%,-0.0162,,-1.62
May-89,"2,480.15","2,418.44","2,515.40","2,359.97",461.34M,2.54%,0.0254,,2.54
Apr-89,"2,418.80","2,296.19","2,433.10","2,282.07",19.33M,0.00%,0,,0
Apr-89,"2,418.80","2,296.19","2,425.95","2,285.56",369.27M,5.46%,0.0546,,5.46
Mar-89,"2,293.62","2,258.39","2,347.14","2,237.32",407.63M,1.56%,0.0156,,1.56
Feb-89,"2,258.39","2,344.82","2,360.36","2,238.21",394.56M,-3.58%,-0.0358,,-3.58
Jan-89,"2,342.32","2,163.21","2,350.18","2,127.14",22.18M,0.00%,0,,0
Jan-89,"2,342.32","2,168.39","2,344.82","2,131.79",437.80M,8.01%,0.0801,,8.01
Dec-88,"2,168.57","2,114.33","2,188.04","2,084.28",302.48M,2.56%,0.0256,,2.56
Nov-88,"2,114.51","2,148.65","2,178.70","2,028.98",332.30M,-1.59%,-0.0159,,-1.59
Oct-88,"2,148.65","2,110.77","2,195.06","2,082.33",19.39M,0.00%,0,,0
Oct-88,"2,148.65","2,112.73","2,185.81","2,086.42",387.84M,1.69%,0.0169,,1.69
Sep-88,"2,112.91","2,031.65","2,136.02","1,996.98",331.31M,4.00%,0.04,,4
Aug-88,"2,031.65","2,128.73","2,145.45","1,984.71",367.40M,-4.56%,-0.0456,,-4.56
Jul-88,"2,128.73","2,141.71","2,165.01","2,052.63",318.92M,-0.61%,-0.0061,,-0.61
Jun-88,"2,141.71","2,030.76","2,162.52","2,027.20",486.09M,5.44%,0.0544,,5.44
May-88,"2,031.12","2,032.16","2,071.95","1,921.58",20.30M,0.00%,0,,0
May-88,"2,031.12","2,032.16","2,065.82","1,925.56",405.22M,-0.06%,-0.0006,,-0.06
Apr-88,"2,032.33","1,989.89","2,121.35","1,968.00",21.53M,0.00%,0,,0
Apr-88,"2,032.33","1,987.73","2,115.22","1,972.48",413.58M,2.23%,0.0223,,2.23
Mar-88,"1,988.06","2,070.29","2,100.46","1,960.05",431.71M,-4.03%,-0.0403,,-4.03
Feb-88,"2,071.62","1,958.39","2,073.28","1,886.27",464.33M,5.79%,0.0579,,5.79
Jan-88,"1,958.22","1,952.59","2,075.27","1,845.99",22.82M,0.00%,0,,0
Jan-88,"1,958.22","1,938.83","2,066.15","1,850.96",432.97M,1.00%,0.01,,1
Dec-87,"1,938.83","1,834.38","2,010.11","1,745.19",21.48M,5.74%,0.0574,,5.74
Nov-87,"1,833.55","1,972.65","2,027.52","1,795.26",23.36M,0.00%,0,,0
Nov-87,"1,833.55","1,994.20","2,016.08","1,799.73",-,-8.02%,-0.0802,,-8.02
Oct-87,"1,993.53","2,596.12","2,651.76","1,616.21",39.50M,-23.22%,-0.2322,,-23.22
Sep-87,"2,596.28","2,662.95","2,688.78","2,476.01",23.27M,-2.50%,-0.025,,-2.5
Aug-87,"2,662.95","2,547.83","2,746.65","2,525.99",25.00M,0.00%,0,,0
Aug-87,"2,662.95","2,571.91","2,736.61","2,532.05",-,3.53%,0.0353,,3.53
Jul-87,"2,572.07","2,418.37","2,574.94","2,404.18",23.26M,6.35%,0.0635,,6.35
Jun-87,"2,418.53","2,291.41","2,457.11","2,266.38",20.20M,5.54%,0.0554,,5.54
May-87,"2,291.57","2,285.37","2,369.95","2,197.99",24.63M,0.23%,0.0023,,0.23
Apr-87,"2,286.36","2,304.69","2,422.16","2,193.32",28.08M,-0.80%,-0.008,,-0.8
Mar-87,"2,304.69","2,228.21","2,399.57","2,209.08",20.89M,0.00%,0,,0
Mar-87,"2,304.69","2,223.57","2,387.36","2,215.27",-,3.63%,0.0363,,3.63
Feb-87,"2,223.99","2,152.98","2,266.45","2,134.42",106.40K,0.00%,0,,0
Feb-87,"2,223.99","2,157.20","2,256.61","2,141.59",-,3.06%,0.0306,,3.06
Jan-87,"2,158.04","1,900.59","2,214.57","1,897.36",26.85M,0.00%,0,,0
Jan-87,"2,158.04","1,895.11","2,210.07","1,894.97",-,13.82%,0.1382,,13.82
Dec-86,"1,895.95","1,914.23","1,961.47","1,887.00",19.01M,-0.95%,-0.0095,,-0.95
Nov-86,"1,914.23","1,880.62","1,926.46","1,797.10",19.65M,0.00%,0,,0
Nov-86,"1,914.23","1,877.81","1,918.59","1,807.23",-,1.94%,0.0194,,1.94
Oct-86,"1,877.81","1,767.44","1,884.14","1,765.75",18.18M,6.24%,0.0624,,6.24
Sep-86,"1,767.58","1,903.26","1,933.35","1,732.99",19.89M,0.00%,0,,0
Sep-86,"1,767.58","1,898.35","1,927.02","1,737.20",-,-6.89%,-0.0689,,-6.89
Aug-86,"1,898.34","1,775.45","1,912.26","1,737.77",14.64M,6.93%,0.0693,,6.93
Jul-86,"1,775.31","1,892.86","1,913.39","1,752.81",16.18M,-6.20%,-0.062,,-6.2
Jun-86,"1,892.72","1,874.19","1,908.62","1,816.07",13.20M,0.00%,0,,0
Jun-86,"1,892.72","1,876.21","1,903.54","1,823.47",-,0.85%,0.0085,,0.85
May-86,"1,876.71","1,783.73","1,895.20","1,751.86",15.04M,5.20%,0.052,,5.2
Apr-86,"1,783.98","1,818.37","1,861.91","1,718.15",20.84M,-1.90%,-0.019,,-1.9
Mar-86,"1,818.61","1,706.19","1,849.74","1,663.07",18.53M,0.00%,0,,0
Mar-86,"1,818.61","1,708.49","1,841.24","1,671.98",-,6.41%,0.0641,,6.41
Feb-86,"1,709.06","1,570.53","1,732.57","1,564.33",18.84M,0.00%,0,,0
Feb-86,"1,709.06","1,571.10","1,720.53","1,568.81",-,8.79%,0.0879,,8.79
Jan-86,"1,570.99","1,546.22","1,582.91","1,491.74",14.95M,0.00%,0,,0
Jan-86,"1,570.99","1,546.67","1,577.29","1,497.71",-,1.57%,0.0157,,1.57
Dec-85,"1,546.67","1,471.33","1,570.87","1,450.34",17.88M,0.00%,0,,0
Dec-85,"1,546.67","1,472.25","1,563.76","1,453.44",-,5.06%,0.0506,,5.06
Nov-85,"1,472.13","1,374.08","1,483.03","1,372.13",15.73M,7.12%,0.0712,,7.12
Oct-85,"1,374.31","1,327.61","1,378.14","1,319.89",11.58M,3.44%,0.0344,,3.44
Sep-85,"1,328.63","1,333.67","1,348.23","1,283.71",11.00M,0.00%,0,,0
Sep-85,"1,328.63","1,334.01","1,341.40","1,289.31",-,-0.40%,-0.004,,-0.4
Aug-85,"1,334.01","1,348.90","1,356.52","1,306.00",8.41M,-1.00%,-0.01,,-1
Jul-85,"1,347.45","1,335.34","1,367.61","1,320.45",11.17M,0.90%,0.009,,0.9
Jun-85,"1,335.46","1,321.24","1,341.17","1,285.39",10.72M,0.00%,0,,0
Jun-85,"1,335.46","1,315.19","1,336.13","1,288.42",-,1.52%,0.0152,,1.52
May-85,"1,315.41","1,257.95","1,316.87","1,240.72",11.57M,4.56%,0.0456,,4.56
Apr-85,"1,258.06","1,267.01","1,287.10","1,250.11",9.50M,-0.69%,-0.0069,,-0.69
Mar-85,"1,266.78","1,284.01","1,305.87","1,246.80",10.04M,-1.34%,-0.0134,,-1.34
Feb-85,"1,284.01","1,285.56","1,303.11","1,268.88",11.37M,-0.21%,-0.0021,,-0.21
Jan-85,"1,286.77","1,277.72","1,305.10","1,266.89",19.51M,0.00%,0,,0
Jan-85,"1,286.77","1,210.14","1,300.02","1,180.99",-,6.21%,0.0621,,6.21
Dec-84,"1,211.57","1,189.16","1,220.19","1,157.46",-,1.90%,0.019,,1.9
Nov-84,"1,188.94","1,207.71","1,244.14","1,184.19",-,-1.53%,-0.0153,,-1.53
Oct-84,"1,207.38","1,206.71","1,237.96","1,161.44",-,0.06%,0.0006,,0.06
Sep-84,"1,206.71","1,224.27","1,244.15","1,195.01",-,-1.44%,-0.0144,,-1.44
Aug-84,"1,224.38","1,115.72","1,248.01","1,115.39",-,9.78%,0.0978,,9.78
Jul-84,"1,115.28","1,132.18","1,136.15","1,082.16",-,-1.51%,-0.0151,,-1.51
Jun-84,"1,132.40","1,105.17","1,140.24","1,082.05",-,2.49%,0.0249,,2.49
May-84,"1,104.85","1,170.96","1,188.23","1,086.85",-,-5.63%,-0.0563,,-5.63
Apr-84,"1,170.75","1,165.20","1,177.76","1,120.39",-,0.50%,0.005,,0.5
Mar-84,"1,164.89","1,154.31","1,191.48","1,136.10",-,0.89%,0.0089,,0.89
Feb-84,"1,154.63","1,220.79","1,223.20","1,117.88",-,-5.40%,-0.054,,-5.4
Jan-84,"1,220.58","1,257.72","1,291.87","1,215.45",-,-3.02%,-0.0302,,-3.02
Dec-83,"1,258.64","1,275.81","1,279.37","1,236.38",-,-1.36%,-0.0136,,-1.36
