Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
17-May,"21,008.65","20,962.73","21,112.32","20,553.45",6.61B,0.33%,0.0033,,0.33
17-Apr,"20,940.51","20,665.17","21,070.90","20,379.55",5.39B,1.34%,0.0134,,1.34
17-Mar,"20,663.22","20,957.29","21,169.11","20,412.80",6.94B,-0.72%,-0.0072,,-0.72
17-Feb,"20,812.24","19,923.81","20,851.33","19,831.09",6.19B,4.77%,0.0477,,4.77
17-Jan,"19,864.09","19,872.86","20,125.58","19,677.94",6.48B,0.51%,0.0051,,0.51
16-Dec,"19,762.60","19,149.20","19,987.63","19,138.79",5.95B,3.34%,0.0334,,3.34
16-Nov,"19,123.58","18,158.24","19,225.29","17,883.56",2.11B,5.41%,0.0541,,5.41
16-Oct,"18,142.42","18,279.60","18,399.96","17,959.95",1.79B,-0.91%,-0.0091,,-0.91
16-Sep,"18,308.15","18,396.57","18,551.54","17,992.21",2.10B,-0.50%,-0.005,,-0.5
16-Aug,"18,400.88","18,434.50","18,668.44","18,247.79",1.70B,-0.17%,-0.0017,,-0.17
16-Jul,"18,432.24","17,924.24","18,622.01","17,713.45",1.82B,2.80%,0.028,,2.8
16-Jun,"17,929.99","17,754.55","18,016.00","17,063.08",2.35B,0.80%,0.008,,0.8
16-May,"17,787.20","17,783.78","17,934.61","17,331.07",1.88B,0.08%,0.0008,,0.08
16-Apr,"17,773.64","17,661.74","18,167.63","17,484.23",2.10B,0.50%,0.005,,0.5
16-Mar,"17,685.09","16,545.67","17,790.11","16,545.67",2.41B,7.08%,0.0708,,7.08
16-Feb,"16,516.50","16,453.63","16,795.98","15,503.01",2.49B,0.30%,0.003,,0.3
16-Jan,"16,466.30","17,405.48","17,405.48","15,450.56",2.84B,-5.50%,-0.055,,-5.5
15-Dec,"17,425.03","17,719.72","17,901.58","17,116.73",2.52B,-1.66%,-0.0166,,-1.66
15-Nov,"17,719.92","17,672.62","17,977.85","17,210.43",2.30B,0.32%,0.0032,,0.32
15-Oct,"17,663.54","16,278.62","17,799.96","16,013.66",2.61B,8.47%,0.0847,,8.47
15-Sep,"16,284.70","16,528.03","16,933.43","15,942.37",2.72B,-1.47%,-0.0147,,-1.47
15-Aug,"16,528.03","17,696.74","17,704.76","15,370.33",2.73B,-6.57%,-0.0657,,-6.57
15-Jul,"17,689.86","17,638.12","18,137.12","17,399.17",2.03B,0.40%,0.004,,0.4
15-Jun,"17,619.51","18,017.82","18,188.81","17,576.50",2.22B,-2.17%,-0.0217,,-2.17
15-May,"18,010.68","17,859.27","18,351.36","17,733.12",1.83B,0.95%,0.0095,,0.95
15-Apr,"17,840.52","17,778.52","18,175.56","17,585.01",2.17B,0.36%,0.0036,,0.36
15-Mar,"17,776.12","18,134.05","18,288.63","17,579.27",2.47B,-1.97%,-0.0197,,-1.97
15-Feb,"18,132.70","17,169.99","18,244.38","17,037.76",1.75B,5.64%,0.0564,,5.64
15-Jan,"17,164.95","17,823.07","17,951.78","17,136.30",2.17B,-3.69%,-0.0369,,-3.69
14-Dec,"17,823.07","17,827.27","18,103.45","17,067.59",2.22B,-0.03%,-0.0003,,-0.03
14-Nov,"17,828.24","17,390.90","17,894.83","17,278.36",1.52B,2.52%,0.0252,,2.52
14-Oct,"17,390.52","17,040.46","17,395.54","15,855.12",2.31B,2.04%,0.0204,,2.04
14-Sep,"17,042.90","17,097.42","17,350.64","16,934.43",1.87B,-0.32%,-0.0032,,-0.32
14-Aug,"17,098.45","16,561.70","17,153.80","16,333.78",1.48B,3.23%,0.0323,,3.23
14-Jul,"16,563.30","16,828.53","17,151.56","16,563.30",1.69B,-1.56%,-0.0156,,-1.56
14-Jun,"16,826.60","16,716.85","16,978.02","16,673.65",1.76B,0.65%,0.0065,,0.65
14-May,"16,717.17","16,580.26","16,735.51","16,341.30",1.64B,0.82%,0.0082,,0.82
14-Apr,"16,580.84","16,458.05","16,631.63","16,015.32",1.99B,0.75%,0.0075,,0.75
14-Mar,"16,457.66","16,321.71","16,505.70","16,046.99",2.10B,0.83%,0.0083,,0.83
14-Feb,"16,321.71","15,697.69","16,398.95","15,340.69",2.07B,3.97%,0.0397,,3.97
14-Jan,"15,698.85","16,572.17","16,573.07","15,617.55",2.18B,-5.30%,-0.053,,-5.3
13-Dec,"16,576.66","16,087.12","16,588.25","15,703.79",2.06B,3.05%,0.0305,,3.05
13-Nov,"16,086.41","15,558.01","16,174.51","15,522.18",1.82B,3.48%,0.0348,,3.48
13-Oct,"15,545.75","15,132.49","15,721.00","14,719.43",2.21B,2.75%,0.0275,,2.75
13-Sep,"15,129.67","14,801.55","15,709.58","14,777.48",2.37B,2.16%,0.0216,,2.16
13-Aug,"14,810.31","15,503.85","15,658.43","14,760.41",2.33B,-4.45%,-0.0445,,-4.45
13-Jul,"15,499.54","14,911.60","15,634.32","14,858.93",2.57B,3.96%,0.0396,,3.96
13-Jun,"14,909.60","15,123.55","15,340.09","14,551.27",2.93B,-1.36%,-0.0136,,-1.36
13-May,"15,115.57","14,839.80","15,542.40","14,687.05",2.77B,1.86%,0.0186,,1.86
13-Apr,"14,839.80","14,578.54","14,887.51","14,434.43",2.92B,1.79%,0.0179,,1.79
